選手名,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,四球,死球,三振,併殺打,打率,出塁率,長打率,犠打,犠飛,所属球団,年度,年齢
野間　峻祥,79,166,154,10,38,3,2,0,45,15,2,1,10,1,30,3,0.247,0.295,0.292,0,1,広島東洋,2025,33
中村　健人,4,10,6,1,0,0,0,0,0,0,1,0,3,1,1,0,0,0.4,0,0,0,広島東洋,2025,29
末包　昇大,123,477,437,40,106,18,3,11,163,62,2,3,33,2,97,6,0.243,0.296,0.373,0,5,広島東洋,2025,30
松山　竜平,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,広島東洋,2025,41
久保　修,17,14,13,1,2,2,0,0,4,0,1,1,1,0,6,1,0.154,0.214,0.308,0,0,広島東洋,2025,26
大盛　穂,102,173,162,28,43,6,1,3,60,11,7,2,9,0,42,2,0.265,0.304,0.37,2,0,広島東洋,2025,30
田村　俊介,25,69,63,5,16,0,1,1,21,4,0,1,6,0,14,1,0.254,0.319,0.333,0,0,広島東洋,2025,23
ファビアン,138,572,539,60,149,30,0,17,230,65,2,3,22,9,84,8,0.276,0.315,0.427,0,2,広島東洋,2025,28
中村　奨成,104,368,344,43,97,21,3,9,151,33,2,6,17,3,48,2,0.282,0.321,0.439,3,1,広島東洋,2025,27
太田　光,111,231,188,14,33,7,2,1,47,12,0,0,23,5,47,6,0.176,0.281,0.25,14,1,東北楽天,2025,30
田中　貴也,12,5,3,0,1,0,0,0,1,0,0,0,1,0,2,0,0.333,0.5,0.333,1,0,東北楽天,2025,34
堀内　謙伍,76,194,168,16,43,3,1,3,57,18,1,0,17,0,39,3,0.256,0.323,0.339,8,1,東北楽天,2025,29
石原　彪,31,38,32,1,3,0,0,0,3,3,0,0,3,0,12,0,0.094,0.171,0.094,3,0,東北楽天,2025,27
小深田　大翔,124,357,299,36,65,5,2,1,77,14,28,8,40,1,65,1,0.217,0.311,0.258,16,1,東北楽天,2025,31
宗山　塁,122,460,430,32,112,19,3,3,146,27,7,0,20,1,82,10,0.26,0.289,0.34,0,9,東北楽天,2025,23
浅村　栄斗,96,389,331,27,79,13,1,9,121,34,1,0,51,6,81,11,0.239,0.35,0.366,0,1,東北楽天,2025,36
阿部　寿樹,43,129,105,11,23,5,1,3,39,8,1,1,22,0,31,1,0.219,0.352,0.371,1,1,東北楽天,2025,36
村林　一輝,137,557,513,41,144,14,0,3,167,51,6,2,28,3,102,14,0.281,0.32,0.326,10,3,東北楽天,2025,29
鈴木　大地,93,198,172,13,41,3,2,2,54,23,1,0,13,11,29,5,0.238,0.33,0.314,1,1,東北楽天,2025,37
ボイト,67,276,243,29,73,9,0,13,121,39,0,0,27,6,59,5,0.3,0.384,0.498,0,0,東北楽天,2025,35
フランコ,101,347,317,21,75,9,0,7,105,32,0,1,24,1,65,6,0.237,0.288,0.331,0,5,東北楽天,2025,34
黒川　史陽,83,343,301,32,90,8,1,4,112,33,1,1,35,2,56,4,0.299,0.372,0.372,2,3,東北楽天,2025,25
伊藤　裕季也,51,130,117,7,25,8,1,1,38,7,2,0,9,1,34,3,0.214,0.273,0.325,2,1,東北楽天,2025,30
渡邊　佳明,75,166,147,7,41,4,0,0,45,19,0,0,12,0,17,4,0.279,0.321,0.306,1,6,東北楽天,2025,29
入江　大樹,4,10,10,0,1,0,0,0,1,2,0,0,0,0,3,0,0.1,0.1,0.1,0,0,東北楽天,2025,24
小森　航大郎,33,80,76,8,15,1,0,1,19,3,5,0,2,1,21,1,0.197,0.225,0.25,0,1,東北楽天,2025,23
陽　柏翔,2,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0.5,0.5,0.5,0,0,東北楽天,2025,21
辰己　涼介,114,422,367,36,88,12,2,7,125,32,20,0,40,9,91,12,0.24,0.325,0.341,1,5,東北楽天,2025,29
ゴンザレス,53,208,201,18,46,5,1,4,65,19,0,2,4,2,37,10,0.229,0.25,0.323,0,1,東北楽天,2025,28
田中　和基,19,18,18,5,1,0,0,0,1,1,1,0,0,0,8,0,0.056,0.056,0.056,0,0,東北楽天,2025,32
岡島　豪郎,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,東北楽天,2025,37
中島　大輔,124,491,462,51,123,11,5,6,162,31,22,4,17,2,75,4,0.266,0.294,0.351,8,2,東北楽天,2025,25
島内　宏明,5,11,10,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0.091,0,0,0,東北楽天,2025,36
吉納　翼,2,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,東北楽天,2025,24
武藤　敦貴,62,130,108,21,22,3,2,0,29,10,3,2,14,2,31,0,0.204,0.302,0.269,4,2,東北楽天,2025,25
小郷　裕哉,90,193,173,18,30,7,2,2,47,12,11,0,16,1,54,0,0.173,0.245,0.272,1,2,東北楽天,2025,30
吉野　創士,5,13,13,0,3,0,0,0,3,2,0,0,0,0,2,1,0.231,0.231,0.231,0,0,東北楽天,2025,23
古賀　優大,87,291,264,16,74,11,0,2,91,16,2,0,12,4,23,14,0.28,0.319,0.345,9,2,東京ヤクルト,2025,28
中村　悠平,74,221,187,13,43,6,0,1,52,11,1,0,22,3,30,6,0.23,0.319,0.278,8,1,東京ヤクルト,2025,36
松本　直樹,18,36,34,0,6,1,0,0,7,0,0,0,2,0,7,3,0.176,0.222,0.206,0,0,東京ヤクルト,2025,33
内山　壮真,116,470,423,50,111,26,1,8,163,48,8,3,41,1,66,10,0.262,0.326,0.385,1,4,東京ヤクルト,2025,24
鈴木　叶,2,6,6,0,2,0,0,0,2,1,0,1,0,0,1,0,0.333,0.333,0.333,0,0,東京ヤクルト,2025,20
橋本　星哉,15,17,16,0,2,0,0,0,2,0,0,0,1,0,4,1,0.125,0.176,0.125,0,0,東京ヤクルト,2025,26
赤羽　由紘,103,290,258,22,54,11,1,2,73,19,5,3,18,0,66,2,0.209,0.259,0.283,12,2,東京ヤクルト,2025,26
山田　哲人,108,377,338,25,78,17,0,12,131,37,3,1,33,2,63,8,0.231,0.3,0.388,0,4,東京ヤクルト,2025,34
川端　慎吾,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0.5,0.5,1,0,0,東京ヤクルト,2025,39
