順位,選手名,年齢,ポジション,チーム,年俸,年俸_円
175,栗原　陵矢,26,外野手,ソフトバンク,7000万円,70000000
176,玉井　大翔,30,投手,日本ハム,6800万円,68000000
177,木下　拓哉,31,捕手,中日,6800万円,68000000
178,小島　和哉,26,投手,ロッテ,6800万円,68000000
179,高橋　周平,29,内野手,中日,6750万円,67500000
180,Ｊ．ミエセス,27,外野手,阪神,6750万円,67500000
181,Ｃ．ホーキンス,29,外野手,ソフトバンク,6600万円,66000000
182,小笠原　慎之介,25,投手,中日,6600万円,66000000
183,松本　航,26,投手,西武,6500万円,65000000
184,阿部　寿樹,33,内野手,楽天,6500万円,65000000
185,松山　竜平,37,外野手,広島,6500万円,65000000
186,鍵谷　陽平,32,投手,巨人,6300万円,63000000
187,濵口　遥大,28,投手,DeNA,6300万円,63000000
188,石田　健大,30,投手,DeNA,6200万円,62000000
189,国吉　佑樹,31,投手,ロッテ,6000万円,60000000
190,杉浦　稔大,31,投手,日本ハム,6000万円,60000000
191,山﨑　福也,30,投手,オリックス,6000万円,60000000
192,中川　圭太,26,内野手,オリックス,6000万円,60000000
193,大勢（翁田　大勢）,23,投手,巨人,5700万円,57000000
194,酒居　知史,30,投手,楽天,5600万円,56000000
195,柴田　竜拓,29,内野手,DeNA,5600万円,56000000
196,堀　瑞輝,24,投手,日本ハム,5500万円,55000000
197,角中　勝也,35,外野手,ロッテ,5500万円,55000000
198,野村　祐輔,33,投手,広島,5500万円,55000000
199,東條　大樹,31,投手,ロッテ,5500万円,55000000
200,辰己　涼介,26,外野手,楽天,5300万円,53000000
201,中﨑　翔太,30,投手,広島,5300万円,53000000
202,福　敬登,30,投手,中日,5000万円,50000000
203,松葉　貴大,32,投手,中日,5000万円,50000000
204,宮西　尚生,37,投手,日本ハム,5000万円,50000000
205,砂田　毅樹,27,投手,中日,5000万円,50000000
206,藤岡　裕大,29,内野手,ロッテ,5000万円,50000000
207,Ｊ．ガント,30,投手,日本ハム,5000万円,50000000
208,加藤　豪将,28,内野手,日本ハム,5000万円,50000000
209,小深田　大翔,27,内野手,楽天,5000万円,50000000
210,中島　宏之,40,内野手,巨人,5000万円,50000000
211,京田　陽太,28,内野手,DeNA,5000万円,50000000
212,大田　泰示,32,外野手,DeNA,5000万円,50000000
213,藤井　皓哉,26,投手,ソフトバンク,5000万円,50000000
214,床田　寛樹,28,投手,広島,5000万円,50000000
215,高橋　奎二,25,投手,ヤクルト,5000万円,50000000
216,堂林　翔太,31,内野手,広島,5000万円,50000000
217,野間　峻祥,30,外野手,広島,5000万円,50000000
218,西野　勇士,32,投手,ロッテ,5000万円,50000000
219,若月　健矢,27,捕手,オリックス,4800万円,48000000
220,湯浅　京己,23,投手,阪神,4700万円,47000000
221,今村　信貴,29,投手,巨人,4700万円,47000000
222,藤嶋　健人,24,投手,中日,4600万円,46000000
223,二木　康太,27,投手,ロッテ,4600万円,46000000
224,伏見　寅威,32,捕手,日本ハム,4500万円,45000000
225,入江　大生,24,投手,DeNA,4500万円,45000000
226,今井　達也,24,投手,西武,4500万円,45000000
227,神里　和毅,29,外野手,DeNA,4500万円,45000000
228,大関　友久,25,投手,ソフトバンク,4500万円,45000000
229,三森　大貴,24,内野手,ソフトバンク,4500万円,45000000
230,Ｃ．Ｃ．メルセデス,29,投手,ロッテ,4500万円,45000000
231,高橋　礼,27,投手,ソフトバンク,4300万円,43000000
232,高梨　裕稔,31,投手,ヤクルト,4300万円,43000000
233,安田　尚憲,23,内野手,ロッテ,4200万円,42000000
234,井上　晴哉,33,内野手,ロッテ,4200万円,42000000
235,西口　直人,26,投手,楽天,4200万円,42000000
236,岡島　豪郎,33,外野手,楽天,4200万円,42000000
237,近藤　大亮,31,投手,オリックス,4200万円,42000000
238,紅林　弘太郎,21,内野手,オリックス,4200万円,42000000
239,今野　龍太,27,投手,ヤクルト,4200万円,42000000
240,岩下　大輝,26,投手,ロッテ,4200万円,42000000
241,谷元　圭介,38,投手,中日,4200万円,42000000
242,津森　宥紀,25,投手,ソフトバンク,4100万円,41000000
243,石川　直也,26,投手,日本ハム,4000万円,40000000
244,渡邉　諒,27,内野手,阪神,4000万円,40000000
245,岡林　勇希,21,外野手,中日,4000万円,40000000
246,Ｙ．メンデス,28,投手,巨人,4000万円,40000000
247,森脇　亮介,30,投手,西武,4000万円,40000000
248,戸柱　恭孝,32,捕手,DeNA,4000万円,40000000
249,水上　由伸,24,投手,西武,4000万円,40000000
250,阿部　翔太,30,投手,オリックス,4000万円,40000000
251,松本　裕樹,26,投手,ソフトバンク,4000万円,40000000
252,森浦　大輔,24,投手,広島,4000万円,40000000
253,周東　佑京,27,内野手,ソフトバンク,4000万円,40000000
254,小園　海斗,22,内野手,広島,4000万円,40000000
255,Ｌ．セデーニョ,24,内野手,オリックス,4000万円,40000000
256,山崎　晃大朗,29,外野手,ヤクルト,4000万円,40000000
257,小野　郁,26,投手,ロッテ,4000万円,40000000
258,佐々木　千隼,28,投手,ロッテ,3850万円,38500000
259,原　樹理,29,投手,ヤクルト,3800万円,38000000
260,上林　誠知,27,外野手,ソフトバンク,3750万円,37500000
261,安樂　智大,26,投手,楽天,3700万円,37000000
262,木澤　尚文,24,投手,ヤクルト,3700万円,37000000
263,岡　大海,31,外野手,ロッテ,3600万円,36000000
264,公文　克彦,31,投手,西武,3600万円,36000000
265,楠本　泰史,27,外野手,DeNA,3600万円,36000000
266,甲斐野　央,26,投手,ソフトバンク,3600万円,36000000
267,比嘉　幹貴,40,投手,オリックス,3600万円,36000000
268,山田　修義,31,投手,オリックス,3600万円,36000000
269,髙部　瑛斗,25,外野手,ロッテ,3500万円,35000000
270,福田　永将,34,内野手,中日,3500万円,35000000
271,石井　一成,28,内野手,日本ハム,3500万円,35000000
272,田中　健二朗,33,投手,DeNA,3500万円,35000000
273,ボー・タカハシ,26,投手,西武,3500万円,35000000
274,森原　康平,31,投手,DeNA,3500万円,35000000
275,Ｔ．アンバギー,28,外野手,DeNA,3500万円,35000000
276,関根　大気,27,外野手,DeNA,3500万円,35000000
277,頓宮　裕真,26,捕手,オリックス,3500万円,35000000
278,梅野　雄吾,24,投手,ヤクルト,3500万円,35000000
279,田島　慎二,33,投手,中日,3500万円,35000000
280,髙橋　宏斗,20,投手,中日,3500万円,35000000
281,上茶谷　大河,26,投手,DeNA,3400万円,34000000
282,板東　湧梧,27,投手,ソフトバンク,3400万円,34000000
283,井口　和朋,29,投手,日本ハム,3300万円,33000000
284,野村　佑希,22,内野手,日本ハム,3300万円,33000000
285,清宮　幸太郎,23,内野手,日本ハム,3300万円,33000000
286,早川　隆久,24,投手,楽天,3300万円,33000000
287,畠　世周,28,投手,巨人,3300万円,33000000
288,平田　真吾,33,投手,DeNA,3300万円,33000000
289,太田　光,26,捕手,楽天,3300万円,33000000
290,與座　海人,27,投手,西武,3300万円,33000000
291,愛斗（武田　愛斗）,25,外野手,西武,3300万円,33000000
292,長岡　秀樹,21,内野手,ヤクルト,3300万円,33000000
293,浜地　真澄,24,投手,阪神,3200万円,32000000
294,清水　達也,23,投手,中日,3200万円,32000000
295,重信　慎之介,29,外野手,巨人,3200万円,32000000
296,一岡　竜司,32,投手,広島,3200万円,32000000
297,富山　凌雅,25,投手,オリックス,3150万円,31500000
298,佐藤　都志也,25,捕手,ロッテ,3100万円,31000000
299,原口　文仁,31,内野手,阪神,3100万円,31000000
300,松原　聖弥,28,外野手,巨人,3100万円,31000000
301,加治屋　蓮,31,投手,阪神,3000万円,30000000
302,宇佐見　真吾,29,捕手,日本ハム,3000万円,30000000
